Train acc,Test acc,loss
69.70929485807252,81.13013698630137,0.21267493871385104
76.90199940060796,81.26712328767123,0.1594640902868689
76.77355824806268,81.30136986301369,0.1581296822796129
76.94909448987455,81.33561643835617,0.15758273066723183
76.91056214411097,81.36986301369863,0.15687408459513155
76.95765723337757,81.71232876712328,0.1569698860179888
76.99190820738964,81.52397260273972,0.1562902228472984
77.16744444920153,81.90068493150685,0.15581232150123545
77.09037975767436,81.91780821917808,0.156005057590465
76.94909448987455,81.57534246575342,0.15537714039626188
77.16744444920153,81.62671232876713,0.15540637661741205
77.0218778096502,80.66780821917808,0.1553014759535659
77.1075052446804,81.5582191780822,0.1552783697231175
77.1075052446804,81.64383561643835,0.15458922972009606
77.1075052446804,81.62671232876713,0.1547727667509693
77.07753564241983,81.60958904109589,0.1543941815013755
77.27876011474076,81.59246575342466,0.15430879625555588
77.3429806910134,80.77054794520548,0.15403667002508084
77.27876011474076,82.00342465753425,0.15466142786692266
77.154600333947,81.62671232876713,0.15448419929367221
77.22738365372265,81.72945205479452,0.1542955957863429
77.154600333947,81.62671232876713,0.154067700652227
77.21882091021963,81.95205479452055,0.15402302113297867
77.23594639722567,82.12328767123289,0.15389692916037284
77.21453953846813,81.64383561643835,0.15396717213196298
77.33869931926189,81.96917808219179,0.1536241400323502
77.34726206276491,81.64383561643835,0.15379374980518262
77.36010617801944,80.71917808219177,0.15365278371801114
77.33869931926189,81.67808219178082,0.15384673421105294
77.2487905124802,81.74657534246576,0.15376724457904084
77.33441794751037,81.5582191780822,0.1535246417742886
77.42432675429207,81.60958904109589,0.15344471192523224
77.32585520400737,81.62671232876713,0.15363890061231508
77.31301108875283,81.52397260273972,0.15325656868007084
77.25735325598322,81.48972602739725,0.15309833071819723
77.27019737123774,81.91780821917808,0.1529763303390921
77.40720126728604,81.93493150684932,0.15278755352921683
77.26163462773472,81.71232876712328,0.15316568649794957
77.45001498480113,81.48972602739725,0.15312176667255897
77.36010617801944,81.8835616438356,0.15293781592013084
77.41576401078906,81.8835616438356,0.1526854031502384
77.32585520400737,81.81506849315069,0.15273325704548457
77.36438754977095,80.68493150684931,0.15243565276877521
77.36438754977095,81.48972602739725,0.15288586822682865
77.32585520400737,81.45547945205479,0.15242870378575912
77.3001669734983,81.90068493150685,0.15252369844341931
77.42004538254056,81.45547945205479,0.15258792183578831
77.3857944085285,81.43835616438356,0.1522141991412803
77.3429806910134,81.48972602739725,0.1526248515877005
77.39007578028,81.5068493150685,0.1527611375467418
