Train acc,Test acc,loss
65.12232923724123,79.72105379676778,0.24146578431971924
73.97874460312188,79.87602390967456,0.17513752312731828
73.78501051699324,79.9203010847908,0.1735977081864967
74.00088564153658,79.89816249723268,0.17236696689162576
74.02302667995129,79.9203010847908,0.1720546733838088
73.9067862282741,79.9203010847908,0.1721483377127681
74.04516771836599,80.00885543502324,0.171654100026343
73.98427986272557,79.9203010847908,0.17191330930580098
74.02856193955496,80.11954837281381,0.17195576566268192
74.04516771836599,79.89816249723268,0.17179813836256944
74.07837927598806,79.98671684746513,0.1715099365572205
73.96767408391453,80.03099402258135,0.17216043511254206
73.91232148787779,79.98671684746513,0.1716534517205225
74.01749142034761,80.05313261013947,0.17178671477961455
74.05623823757335,80.03099402258135,0.1715875467278932
74.10052031440274,80.11954837281381,0.17137310590739807
74.08944979519539,80.07527119769759,0.1716187466528306
74.04516771836599,80.14168696037193,0.17158776829710276
74.02856193955496,80.2523798981625,0.17099594464361037
73.99535038193291,80.23024131060438,0.1705128224072945
74.07284401638437,80.27451848572062,0.17077300389537542
74.10052031440274,80.27451848572062,0.17067114142668122
74.16694342964685,78.23776843037415,0.17050519664590855
74.04516771836599,80.27451848572062,0.17099371915781877
74.17247868925053,80.2523798981625,0.17039729704810536
74.23336654489096,80.29665707327872,0.1699768014699747
74.22783128528728,80.31879566083684,0.16971527182171287
74.1780139488542,80.23024131060438,0.17050075072913626
74.23890180449463,80.27451848572062,0.17031150850937982
74.23890180449463,80.27451848572062,0.16971244820962947
74.19461972766523,80.36307283595306,0.17002980476870555
74.16694342964685,80.27451848572062,0.16935968198961587
74.27764862172036,80.29665707327872,0.16942293478616977
74.22783128528728,80.27451848572062,0.1690641535255176
74.14480239123215,80.27451848572062,0.16943210560841612
74.27764862172036,80.27451848572062,0.16966674524250805
74.26657810251301,80.27451848572062,0.16922049840431752
74.05070297796966,80.27451848572062,0.16942586344354144
74.16140817004317,80.29665707327872,0.16970652505070918
74.29978966013506,80.31879566083684,0.16903158224618897
74.29978966013506,80.2523798981625,0.16899431233587198
74.26657810251301,80.29665707327872,0.16927308262763513
74.35514225617182,80.20810272304627,0.1691356712011061
74.35514225617182,80.27451848572062,0.16896742869286993
74.18908446806155,80.2523798981625,0.16942215805656075
74.39388907339755,80.23024131060438,0.16936088274414043
74.3828185541902,80.23024131060438,0.16846183895432906
74.37174803498284,80.2523798981625,0.16864044627326116
74.34407173696447,80.2523798981625,0.16942018641705225
74.29978966013506,80.20810272304627,0.1685742614494617
